,def_pay
8178,1
12403,1
26616,0
18140,0
27844,0
1505,0
13912,0
24409,1
8716,1
21420,1
4410,0
28123,1
8991,1
929,0
26361,0
17851,0
10838,0
17869,0
22144,1
9632,1
6184,0
13922,1
25189,0
1332,1
29430,0
25168,0
6118,0
14970,0
25161,0
5398,1
14883,1
4193,0
6121,1
12026,1
6771,0
8206,0
16972,1
27549,1
3815,1
4855,1
16137,1
26321,1
23976,0
20164,1
10420,0
20783,0
26541,1
19980,0
12952,0
2522,0
10765,0
86,1
291,1
19922,1
6428,1
22504,1
27,0
1227,0
14769,0
12376,0
2403,1
24725,0
29804,1
23147,0
24389,0
8834,0
15861,1
27642,0
7138,0
12060,0
8383,1
14298,0
18620,0
12515,1
29035,1
26547,0
26621,0
23017,0
22877,0
16273,0
4230,0
18854,0
21718,0
10346,0
26124,0
7461,0
6129,1
25923,1
14582,0
29497,1
27258,0
24777,0
500,0
8316,0
13461,0
12468,0
26873,0
6108,1
20170,1
10986,0
13149,0
24686,0
27637,0
28603,1
26445,1
13976,0
24231,0
15100,1
1442,1
9789,0
3434,1
24905,0
20456,0
1890,0
20102,0
5551,0
10630,0
497,0
27656,1
19930,0
13681,0
7786,1
15094,1
28474,0
9675,0
10052,0
19765,0
19832,0
25590,1
3521,0
24730,0
15624,1
572,0
12486,0
7014,0
16948,0
13233,0
29435,0
24413,0
13192,0
2183,0
1722,1
19239,0
22760,0
17655,0
1290,0
3717,0
5885,0
17645,0
15785,0
3931,1
3073,1
17538,0
11097,0
7029,0
18094,1
5980,0
28388,0
24001,1
20422,0
11095,1
10655,1
27555,0
1391,0
21929,0
29792,0
25775,0
15435,0
12076,0
1719,1
28521,1
19716,0
13617,0
3263,0
12380,0
12266,0
12721,0
20964,0
19555,0
4025,0
22699,1
1080,0
26715,1
20818,0
10870,1
5828,0
27468,0
9295,1
19536,1
28784,0
2711,0
26522,0
28817,0
22930,0
29798,0
4037,0
7234,0
17907,1
14407,1
22704,0
1164,0
7859,0
8365,0
2452,0
27490,0
264,0
7127,0
9032,0
6535,0
12959,0
29846,0
6836,0
16584,1
25059,1
20301,0
8330,0
7380,0
7576,1
22398,0
12087,0
24434,1
3097,0
15140,1
26153,0
27605,0
8807,0
16394,0
1358,0
11070,0
4917,1
7251,0
1691,0
16513,0
7183,0
17555,0
16088,1
8258,0
18786,0
12028,0
16876,0
5448,0
12931,0
8968,0
14660,0
6382,0
11122,0
19665,0
6882,0
23921,0
20880,0
28159,0
14639,0
29186,0
9790,0
15712,0
23157,0
3693,0
16986,1
8129,0
23937,0
10258,0
16638,0
18251,0
1569,1
16414,0
18239,0
5392,1
25497,0
8665,0
18598,0
5761,0
1588,0
19069,1
20920,1
7292,0
14217,0
3457,1
28573,0
7319,1
2588,0
1360,0
26510,0
9306,0
20135,0
26859,0
21974,1
26990,0
17427,0
9454,0
13670,0
23254,0
328,0
12766,0
18183,0
26534,1
9885,0
21273,1
10829,0
27976,0
10959,0
25833,0
23933,0
9673,0
25502,0
23219,0
14689,0
29719,0
347,1
18536,0
1438,0
21651,1
10844,0
27963,1
28648,0
10559,0
17419,0
11124,0
18162,0
17615,0
28065,1
18943,0
272,1
5643,0
15968,0
2852,1
757,1
22664,0
16863,1
7510,0
2488,1
17810,0
8172,1
7717,0
28107,0
14826,0
9858,0
14923,0
2627,0
11183,0
8740,0
27238,0
27093,0
9502,0
2901,0
3596,1
11673,0
23592,0
2449,1
20342,1
14070,0
5165,0
7758,1
17459,0
8667,1
14259,0
23304,0
8996,0
11315,0
10503,0
24443,0
15081,0
9506,0
26244,0
28575,1
22427,0
10168,0
22135,0
9840,1
12110,0
27367,0
16862,1
9006,1
29296,0
26929,1
3603,0
29740,0
3620,0
11928,0
11867,0
17359,0
7529,0
2938,0
19417,0
18841,0
1966,0
18902,0
17149,0
28270,1
12830,0
24607,0
20086,0
1485,1
10777,0
5442,0
557,0
24215,0
7069,0
15038,0
25645,1
16383,0
19966,0
22720,0
618,0
28028,1
2675,0
21687,0
26134,0
11587,0
18270,0
14943,0
11051,0
8626,0
12546,0
2286,0
23315,1
4576,0
18109,1
3014,0
6807,0
20236,0
17257,1
28164,0
5072,0
1896,0
399,0
1307,0
29366,1
16809,0
5416,0
1425,0
3195,0
22243,0
18015,0
6154,1
8458,0
27032,0
20639,1
21384,0
2971,0
21788,0
4152,0
24219,0
21087,0
9294,0
13242,0
23880,0
10946,0
10265,0
29514,0
4474,0
28512,0
27744,0
18955,1
5203,0
8836,0
23632,0
25320,0
20627,0
19208,0
3748,0
29767,0
23614,0
14284,0
11609,0
29556,1
5174,0
6656,0
13376,0
18344,0
6838,1
23711,0
11910,0
3209,0
12246,0
7118,1
3807,0
17269,0
5868,0
17649,1
11333,1
16313,0
18184,0
28187,1
29401,0
4501,1
9516,0
29937,0
28059,1
14109,0
20738,1
27493,1
27968,0
12196,1
13807,0
17913,0
24172,0
3511,0
4023,0
13078,0
614,0
10570,0
13734,0
17756,1
9406,1
3752,0
23415,1
20615,0
23669,0
1104,1
15804,0
12155,1
29215,0
26673,0
12483,0
25961,0
3150,1
14401,0
14539,0
15536,1
16437,0
6116,0
24552,0
4224,1
2462,1
1395,0
22681,0
17939,0
24718,0
5169,1
28996,0
28906,0
1027,0
12538,0
23506,1
20068,0
20359,1
13486,0
22245,0
19854,0
14269,0
8927,0
21915,0
11559,1
23745,0
28349,1
19161,0
14919,0
29277,0
29939,0
18073,1
10514,0
3094,1
25348,1
7645,1
8741,1
2386,0
29295,0
10659,1
26802,0
23287,1
13442,0
10862,0
3300,0
7026,0
17423,1
10683,0
20387,1
28237,0
6248,0
22573,0
2594,0
27575,0
24403,0
20436,0
20483,1
8902,0
11918,0
25582,0
18818,1
28995,1
17271,0
9064,0
25705,0
25907,0
11925,0
29250,1
6095,0
11743,0
21441,0
15745,0
27563,0
20247,0
10504,0
10746,0
20500,0
1579,0
27631,1
8556,0
25798,1
26076,0
3084,0
24011,1
24634,0
6279,0
19065,1
5893,0
21874,0
12033,0
22908,0
29375,0
21942,1
15079,0
21611,0
5798,0
2599,0
15520,0
21616,0
6487,1
26934,1
651,0
2567,0
2515,0
16116,1
16147,0
22818,0
7293,0
14453,0
20367,1
9559,1
4028,0
13533,0
24075,0
7211,0
7554,0
26691,0
21725,0
2696,0
16372,0
26949,0
6011,0
19672,0
539,0
9459,0
12432,0
13349,0
7326,0
28150,1
15214,0
29640,1
11158,0
18197,0
20728,0
23916,0
9510,0
4772,0
6985,0
27023,0
1284,0
6440,0
11706,1
18632,0
9713,0
2405,1
5582,0
25142,0
22071,0
5408,0
5148,1
13520,0
20107,0
17239,1
15749,0
29771,1
27724,0
26436,0
5837,1
29894,1
2796,0
22785,1
1196,0
17527,0
28869,0
19926,1
783,1
8301,0
29583,0
26909,0
10901,0
12547,0
15179,1
14339,1
28377,0
26350,0
20766,0
21310,1
5026,0
29603,0
10956,0
29340,0
3143,1
18907,0
8108,0
6196,0
2039,0
2350,0
29557,1
6734,0
19613,0
13244,0
26221,0
8945,0
21334,0
12491,0
16917,0
21365,0
23731,1
21265,0
18520,0
6716,0
18146,0
15220,0
5178,0
13575,1
2961,0
15392,1
9484,0
5559,0
19456,0
8289,0
18187,0
17575,1
26506,1
4844,0
11416,0
6218,0
5526,0
1058,0
7306,0
5916,0
6943,0
9325,0
25196,1
24849,0
13273,0
29322,0
19915,0
3006,0
22906,0
13893,0
27748,1
21064,0
17372,0
3184,0
14032,0
26827,0
18603,0
5002,0
26401,0
27199,0
22419,0
22130,0
27029,0
18304,0
12431,0
8653,0
4358,1
7676,0
19948,0
22965,0
15742,0
5829,0
75,0
1804,1
11590,0
4546,1
20421,0
8534,1
1209,1
16594,1
21893,0
2453,0
2381,0
26848,0
18043,0
4047,1
28631,0
13721,0
25567,0
20005,1
17734,0
25647,1
13127,1
24527,1
10028,0
10104,0
16121,1
24079,0
6541,0
15963,0
23368,0
19176,0
8935,0
28031,0
17210,0
26264,0
5384,0
873,0
15759,0
12640,0
9395,1
7883,0
29546,0
6203,0
18443,1
27538,0
23171,0
26053,0
7223,0
15157,0
7792,1
5830,0
14183,0
2758,0
13785,1
558,0
1207,0
11999,1
30,0
19022,0
26971,0
17141,0
22274,0
28441,0
6917,1
25837,1
5723,0
6550,1
21240,0
132,0
8196,0
1440,0
26267,0
7194,0
28188,0
17377,0
16668,0
11932,0
13066,0
8460,0
20992,1
59,0
17288,0
22575,0
16582,1
11650,1
11187,0
23659,0
16354,0
4989,0
5077,1
6641,0
9853,0
25905,0
24319,1
11793,1
9801,1
12439,0
2223,0
29868,0
22484,0
27426,0
1760,0
11773,0
22497,0
27133,0
24184,0
26542,0
27503,0
8664,0
16495,1
8515,0
21512,0
17686,0
143,0
13011,0
10797,0
3892,0
26841,0
29571,0
13485,0
10713,1
5401,0
17498,0
22395,0
19108,1
15685,0
24803,0
14902,0
29805,0
11691,0
428,0
13434,0
16522,0
17177,0
8912,0
29750,0
28208,0
13200,0
29869,0
11919,0
27324,0
10016,0
17167,0
21728,0
19134,0
19942,0
301,0
10681,0
18880,0
21231,0
26636,0
20096,0
2718,0
2543,0
9185,0
24300,0
12537,0
6557,1
4357,0
12301,0
28832,0
6349,0
29588,0
20801,0
26320,0
9305,1
8681,0
16954,0
8699,0
5538,1
18800,0
13706,0
15026,0
28243,0
17569,1
13259,1
55,0
9527,1
6037,0
1190,0
15077,0
26707,0
10942,1
15969,1
10046,1
18765,0
12412,0
21073,1
16493,0
4803,1
15318,0
8123,0
8908,0
9102,1
3440,0
2651,1
24193,1
29953,0
12750,1
14760,1
19328,1
2925,0
18225,1
10217,0
9450,0
11514,0
11382,0
11526,0
23681,0
19891,0
20605,1
21238,0
28320,0
19204,0
19509,0
29580,0
3869,0
16393,0
21474,0
7341,0
8009,0
21311,1
26204,0
12917,1
11410,0
2306,0
7079,0
15851,0
13778,1
9973,0
15912,0
23221,0
13303,0
29782,0
16465,0
29590,1
18110,1
22741,0
14550,0
5314,0
25416,0
14646,0
7739,0
7838,0
2478,0
10178,0
612,0
10139,1
756,0
9542,0
19921,0
21745,0
8573,1
24985,0
5286,1
14110,0
17890,0
25184,0
7944,1
1993,0
27740,0
2947,1
15313,0
14198,0
23080,0
23207,0
27210,0
12116,0
29876,0
20561,0
2069,0
3767,0
5750,1
4569,1
9161,0
26501,1
16406,1
4121,0
18707,0
19939,0
10246,0
5417,0
17581,1
23764,0
18011,0
1238,1
24005,0
19675,0
211,1
7700,1
13610,0
3979,0
12357,0
16708,0
27455,0
1249,1
25319,0
24570,1
7477,0
10287,1
13113,0
12642,0
9735,0
12280,0
2742,0
1114,0
20969,0
2716,0
8919,1
27169,0
17483,0
10791,0
4698,0
12691,0
20807,1
28924,0
16,1
14824,1
5378,0
26596,0
12832,0
5968,0
20989,0
3131,0
25326,0
13032,0
27222,1
18166,0
5659,0
19863,1
29517,0
23763,0
27997,0
29334,0
1385,0
12136,0
14251,1
13399,1
27033,0
10501,0
18728,0
25087,0
28171,0
3134,0
27482,0
9588,0
7834,0
24598,1
10196,0
21775,0
29630,0
21204,0
4026,0
15044,0
10649,1
21938,1
11256,0
9292,1
29866,1
9539,0
1299,1
1163,0
25764,0
17867,0
12866,0
10920,1
228,1
15347,0
1415,0
6586,0
29086,0
402,1
11047,0
18584,0
866,0
4497,1
17052,1
16183,1
15993,0
23345,0
13999,0
7039,0
25003,0
3295,1
23980,0
13830,0
5725,0
29356,1
20890,0
10737,0
18005,1
7509,0
6863,0
10088,1
5877,0
23658,0
20809,0
20590,0
20707,1
28899,1
10474,0
5741,0
12748,1
6735,0
14996,0
677,0
6111,1
10830,1
24333,0
21860,0
16852,0
19295,0
25076,0
9491,0
27089,0
1654,0
27062,0
12006,1
13194,0
16987,1
9322,0
29116,0
5712,0
22081,0
8185,1
16203,0
1195,0
18628,0
15452,0
8959,0
15882,0
23515,0
803,0
24110,0
9207,0
13779,0
1906,0
16823,0
17549,0
4568,0
511,1
23152,0
13430,1
14390,0
2040,0
17092,1
22873,0
23396,0
2550,0
14030,1
3795,0
14948,0
28069,0
7047,1
8277,1
24662,0
3916,1
28226,0
29936,0
6244,0
11311,0
29169,1
10087,0
29699,0
808,0
23798,1
16633,1
18612,0
25751,0
10754,0
3060,1
23926,0
28099,1
27861,0
13002,0
18731,1
4191,1
4635,0
11683,1
18805,0
16901,0
24600,1
28259,0
5461,0
18648,0
29343,0
5698,0
1401,0
20118,0
20054,0
12631,0
23201,0
10326,1
11857,0
24185,1
24775,0
158,1
3096,0
2972,0
12150,0
19927,0
27902,0
8247,0
20826,0
23018,0
8389,0
1952,0
12164,0
10040,0
12269,0
21818,1
25583,0
8173,0
2905,0
19177,0
22422,0
5729,0
13962,1
21389,0
5087,0
4615,1
12416,1
15567,0
6047,1
17071,1
22494,1
11196,0
15334,0
6342,0
10197,0
2410,0
2807,0
11036,1
15770,1
17626,0
21372,0
24358,0
7072,0
1082,0
10566,0
81,0
19082,1
17894,1
9140,0
25185,0
17192,0
22944,0
26212,0
1405,1
18667,0
28969,0
24958,0
14120,0
14246,0
26144,0
10419,0
15045,0
22819,0
13481,0
19195,0
19178,1
21868,0
26958,0
11997,0
12260,0
4640,0
3887,0
17926,1
15695,0
20578,0
17958,0
20460,0
3408,0
10708,0
15491,0
14356,0
12794,1
4593,0
16258,0
5907,0
2084,0
24422,0
5060,1
24531,1
20286,0
11923,0
17970,0
10421,0
14709,0
11242,0
19487,0
13342,0
14391,0
4085,0
8268,1
28715,0
26372,0
2422,0
26536,0
26021,0
4241,0
4293,0
18338,0
8273,0
6430,0
5211,0
9331,0
12081,0
2814,0
28437,0
26847,0
9186,0
29578,0
1371,0
13884,1
27581,0
25266,0
14803,0
1998,0
2345,0
14890,0
7862,0
17128,0
24800,0
2036,0
18904,0
7233,0
9619,1
1651,0
11833,0
10043,0
3146,0
12974,0
13276,0
4080,0
1826,1
17505,0
18273,1
10667,0
8303,0
1925,0
2760,0
15615,1
19287,0
13054,0
12005,1
26736,1
5548,0
29587,0
23702,0
11466,0
23013,0
18506,0
21839,0
4119,0
10711,0
21530,1
19799,0
26408,1
3070,0
7905,0
24586,0
5864,1
1948,0
10752,0
9672,0
15349,0
18399,0
17010,0
28517,0
8539,0
27667,0
21622,0
5096,1
24388,0
21634,1
13190,0
12841,0
16785,1
7300,0
6994,0
20575,0
23525,1
15531,1
7555,1
2735,0
28962,0
18382,1
13368,0
27349,0
6435,0
1721,0
638,0
3088,0
24675,0
4214,0
21539,1
22857,0
673,1
20244,0
5375,0
13511,0
12111,0
267,1
8152,0
18161,0
17920,1
29857,0
8363,0
1690,0
16775,0
28333,0
12188,1
13271,0
6519,0
28263,0
9433,1
14869,0
27673,1
13698,0
26706,1
17348,0
16983,0
1461,0
21029,1
19324,0
16528,0
15946,0
1245,0
12903,0
10770,0
29164,0
1615,1
23533,0
39,0
28997,0
5482,0
23590,0
6494,0
22526,0
14478,0
26643,1
26178,0
11042,0
20408,1
22003,0
28347,0
5128,0
12090,0
21594,0
3609,0
24197,1
17980,0
12471,0
29237,0
21591,0
17047,0
10315,1
23105,0
27961,0
21308,1
169,0
19777,0
18122,0
1211,0
10332,1
25511,0
25179,0
29794,0
18354,0
23359,0
801,1
6914,1
26371,0
10316,1
768,0
12584,0
26922,0
26063,0
26132,0
23959,0
6603,0
27720,1
23742,0
28291,0
102,0
5074,0
20591,0
29676,0
21154,0
29981,0
5933,0
4411,0
21121,0
1928,0
15335,0
15466,0
14075,0
10763,0
5579,1
6035,1
6800,1
28460,1
6009,0
12802,1
28972,0
1308,0
29505,0
14444,0
15737,0
17315,1
4843,0
163,0
14371,0
6211,0
6900,0
5547,0
26444,0
27540,1
10758,0
17539,0
21934,0
24146,0
27438,0
26014,0
27505,0
26411,0
22674,0
17990,0
18340,0
26122,0
15050,0
21082,0
24624,1
3239,0
16803,0
29975,0
7012,0
10221,0
22896,0
27360,0
13122,0
27682,0
12659,0
22588,0
18865,0
15450,0
17414,0
28569,0
16218,0
2375,1
25225,0
4370,0
28292,0
10848,0
27784,0
19612,0
22192,1
20711,0
7303,0
8925,1
1116,1
12730,0
4675,0
3644,0
323,1
28998,0
27962,0
2397,0
16359,0
3202,0
4419,0
6915,0
28961,0
11130,0
25425,0
16911,0
27448,1
543,0
25015,0
24998,0
29873,0
6169,1
4416,0
12647,0
19697,1
15405,0
19597,0
23825,0
20138,0
25620,0
7614,0
16669,0
13996,0
25689,0
14124,0
10294,0
26342,0
5248,1
12467,0
4523,0
22825,1
4461,1
18828,0
27077,0
25262,1
7426,0
8115,0
19734,0
24047,0
11941,0
761,0
7035,0
4785,0
7348,0
18010,1
15940,0
386,0
23350,1
16626,1
28455,0
15736,0
2280,0
25233,1
28975,0
24125,0
13017,0
19501,0
15134,0
2886,0
13338,0
3852,1
5499,0
10323,0
3416,0
26965,1
7004,0
3865,0
18479,0
24910,0
14362,1
23975,0
9245,0
936,0
17181,0
22256,1
26676,0
26730,0
25333,0
997,1
16530,0
26289,0
16636,1
6529,0
22984,0
4857,1
1145,1
15833,0
4707,1
3652,0
16427,0
10883,0
29452,1
29658,0
27570,0
8942,0
17004,0
28422,0
7826,0
28617,0
2283,0
2890,0
20878,0
8223,0
24856,1
23217,0
8844,0
9171,0
24601,1
21998,0
15964,1
21336,0
13871,0
5152,0
3937,0
27646,0
2034,0
2000,1
6450,0
16545,0
2700,0
8731,0
27774,0
9121,0
14528,0
20988,0
25576,0
2866,0
11978,0
23627,0
4318,0
10730,0
27533,1
24895,0
7474,1
14303,0
19936,0
27407,0
21481,0
28079,0
2151,0
9354,0
10693,0
892,0
5292,0
23066,0
10359,0
19006,0
26109,0
7618,0
25197,0
23605,0
2966,0
7312,0
24308,0
20228,0
14137,0
4005,0
25657,0
27042,0
4114,0
10560,0
7383,0
6896,1
18141,0
17699,0
22002,0
20267,0
12446,0
16293,0
29347,0
29897,1
4288,0
14132,1
1889,1
3085,0
7801,1
20449,0
3172,0
2547,0
15476,0
16552,1
10834,0
17292,0
25302,0
7989,0
22125,1
28191,0
708,0
8008,0
6346,0
14862,0
25291,0
26919,1
12587,1
2668,0
1017,1
1567,0
22666,1
21292,1
10389,1
28210,0
27856,0
22197,0
10782,0
2288,0
17089,0
12834,1
28389,0
14607,0
26322,0
25260,0
4043,1
24305,0
9856,1
22685,0
23122,0
879,0
12727,0
3430,1
24373,0
16387,0
26306,0
9618,0
26952,0
19074,0
2779,0
21516,0
8361,1
5804,0
3576,0
28935,0
13694,0
3078,0
6209,0
18186,1
4353,1
15180,1
29614,1
9483,1
5785,1
11195,0
19319,1
19743,0
27953,0
6285,0
5737,0
15265,0
11211,1
5862,0
15350,1
346,0
22123,0
26693,0
16829,1
29706,0
14204,1
180,0
12968,0
16529,0
17335,0
27067,0
12050,0
598,0
17162,0
23666,0
867,0
12574,0
28885,0
24736,0
15594,0
17083,0
7627,1
13679,1
4374,1
29470,0
16143,0
3913,0
3813,0
5357,0
5393,0
23560,0
17743,1
5147,1
9164,1
16404,0
6672,0
17820,0
21213,0
21324,0
4628,1
15124,0
13754,0
10674,0
14891,1
19399,0
8041,1
15099,0
9073,0
3646,0
20550,0
21327,0
17957,0
11380,0
4808,0
18027,0
5239,0
12166,0
24088,0
3818,0
24291,0
18102,0
10176,0
20847,0
27335,0
27584,1
13853,0
19083,1
19078,0
28944,0
4495,0
13290,0
17369,0
9685,0
26530,1
14499,0
6999,1
317,0
24343,0
16051,0
19821,0
25071,0
28445,0
26665,0
1146,1
5118,0
7506,1
12175,0
27826,1
23547,0
8747,0
23771,0
23759,1
12821,0
12263,0
1911,0
27124,0
18571,0
28783,0
15622,0
10961,0
22730,0
10278,1
18983,0
2362,0
27933,0
13872,0
20148,1
15943,0
21873,0
10788,0
25727,1
29025,1
14042,1
3490,1
22939,0
25415,1
7424,0
12264,0
15103,0
5886,0
6133,0
7193,1
20205,0
26727,0
28865,0
23527,0
24357,0
4532,0
18446,0
5748,0
3680,0
17591,0
20706,0
14732,0
28505,0
21380,1
29647,0
29317,0
29703,0
19843,1
566,1
9195,1
13170,0
4386,0
14021,0
12130,0
29891,0
24968,1
25150,0
27975,0
16609,0
947,0
14264,0
11236,0
1065,0
3921,0
19825,0
6811,0
22709,0
24058,0
2537,1
13021,1
7631,0
5389,0
21166,1
3478,0
